Epoch,Training Loss,Validation Loss,IoU,Dice,Pixel Accuracy,Precision,Recall,Specificity
25,0.11410611288415061,0.12780017654101053,"tensor(0.8207, device='cuda:0')","tensor(0.9015, device='cuda:0')","tensor(0.9493, device='cuda:0')","tensor(0.9001, device='cuda:0')","tensor(0.9030, device='cuda:0')","tensor(0.9654, device='cuda:0')"
26,0.1144978337817722,0.12621861696243286,"tensor(0.8167, device='cuda:0')","tensor(0.8990, device='cuda:0')","tensor(0.9501, device='cuda:0')","tensor(0.9360, device='cuda:0')","tensor(0.8650, device='cuda:0')","tensor(0.9796, device='cuda:0')"
27,0.10960732400417328,0.12429763625065486,"tensor(0.8186, device='cuda:0')","tensor(0.9001, device='cuda:0')","tensor(0.9508, device='cuda:0')","tensor(0.9396, device='cuda:0')","tensor(0.8641, device='cuda:0')","tensor(0.9808, device='cuda:0')"
28,0.10752231710486942,0.12196568648020427,"tensor(0.8279, device='cuda:0')","tensor(0.9058, device='cuda:0')","tensor(0.9518, device='cuda:0')","tensor(0.9093, device='cuda:0')","tensor(0.9024, device='cuda:0')","tensor(0.9689, device='cuda:0')"
29,0.10653229388925764,0.11880103995402654,"tensor(0.8285, device='cuda:0')","tensor(0.9061, device='cuda:0')","tensor(0.9531, device='cuda:0')","tensor(0.9321, device='cuda:0')","tensor(0.8817, device='cuda:0')","tensor(0.9778, device='cuda:0')"
30,0.10246790117687649,0.11655082801977794,"tensor(0.8329, device='cuda:0')","tensor(0.9088, device='cuda:0')","tensor(0.9542, device='cuda:0')","tensor(0.9306, device='cuda:0')","tensor(0.8882, device='cuda:0')","tensor(0.9771, device='cuda:0')"
31,0.10110840780867471,0.11544124782085419,"tensor(0.8349, device='cuda:0')","tensor(0.9099, device='cuda:0')","tensor(0.9545, device='cuda:0')","tensor(0.9256, device='cuda:0')","tensor(0.8950, device='cuda:0')","tensor(0.9752, device='cuda:0')"
32,0.10473914858367708,0.12130632003148396,"tensor(0.8241, device='cuda:0')","tensor(0.9034, device='cuda:0')","tensor(0.9525, device='cuda:0')","tensor(0.9447, device='cuda:0')","tensor(0.8659, device='cuda:0')","tensor(0.9825, device='cuda:0')"
33,0.10668872462378608,0.1298743039369583,"tensor(0.8076, device='cuda:0')","tensor(0.8935, device='cuda:0')","tensor(0.9490, device='cuda:0')","tensor(0.9642, device='cuda:0')","tensor(0.8327, device='cuda:0')","tensor(0.9893, device='cuda:0')"
34,0.10424631502893236,0.11628453185160954,"tensor(0.8365, device='cuda:0')","tensor(0.9109, device='cuda:0')","tensor(0.9542, device='cuda:0')","tensor(0.9099, device='cuda:0')","tensor(0.9121, device='cuda:0')","tensor(0.9688, device='cuda:0')"
35,0.0993477354447047,0.12213679651419322,"tensor(0.8212, device='cuda:0')","tensor(0.9017, device='cuda:0')","tensor(0.9524, device='cuda:0')","tensor(0.9584, device='cuda:0')","tensor(0.8516, device='cuda:0')","tensor(0.9872, device='cuda:0')"
36,0.0991729340619511,0.11248783022165298,"tensor(0.8397, device='cuda:0')","tensor(0.9128, device='cuda:0')","tensor(0.9561, device='cuda:0')","tensor(0.9316, device='cuda:0')","tensor(0.8949, device='cuda:0')","tensor(0.9773, device='cuda:0')"
37,0.09567056265142229,0.11123186598221461,"tensor(0.8420, device='cuda:0')","tensor(0.9141, device='cuda:0')","tensor(0.9564, device='cuda:0')","tensor(0.9243, device='cuda:0')","tensor(0.9044, device='cuda:0')","tensor(0.9744, device='cuda:0')"
38,0.09471696449650659,0.11443233986695607,"tensor(0.8355, device='cuda:0')","tensor(0.9102, device='cuda:0')","tensor(0.9557, device='cuda:0')","tensor(0.9476, device='cuda:0')","tensor(0.8759, device='cuda:0')","tensor(0.9833, device='cuda:0')"
39,0.09404526402552922,0.11048698673645656,"tensor(0.8432, device='cuda:0')","tensor(0.9148, device='cuda:0')","tensor(0.9569, device='cuda:0')","tensor(0.9282, device='cuda:0')","tensor(0.9021, device='cuda:0')","tensor(0.9759, device='cuda:0')"
40,0.09331523792611228,0.11000445485115051,"tensor(0.8437, device='cuda:0')","tensor(0.9151, device='cuda:0')","tensor(0.9573, device='cuda:0')","tensor(0.9335, device='cuda:0')","tensor(0.8977, device='cuda:0')","tensor(0.9779, device='cuda:0')"
41,0.09250377698077096,0.10928880671660106,"tensor(0.8447, device='cuda:0')","tensor(0.9157, device='cuda:0')","tensor(0.9575, device='cuda:0')","tensor(0.9333, device='cuda:0')","tensor(0.8990, device='cuda:0')","tensor(0.9778, device='cuda:0')"
42,0.09178610063261455,0.11055063207944234,"tensor(0.8417, device='cuda:0')","tensor(0.9139, device='cuda:0')","tensor(0.9572, device='cuda:0')","tensor(0.9451, device='cuda:0')","tensor(0.8849, device='cuda:0')","tensor(0.9823, device='cuda:0')"
43,0.09191916137933731,0.11183120310306549,"tensor(0.8392, device='cuda:0')","tensor(0.9125, device='cuda:0')","tensor(0.9568, device='cuda:0')","tensor(0.9506, device='cuda:0')","tensor(0.8775, device='cuda:0')","tensor(0.9843, device='cuda:0')"
44,0.09164423081609938,0.10796280205249786,"tensor(0.8473, device='cuda:0')","tensor(0.9172, device='cuda:0')","tensor(0.9580, device='cuda:0')","tensor(0.9275, device='cuda:0')","tensor(0.9074, device='cuda:0')","tensor(0.9755, device='cuda:0')"
45,0.09101580000585979,0.10848801334698994,"tensor(0.8480, device='cuda:0')","tensor(0.9177, device='cuda:0')","tensor(0.9577, device='cuda:0')","tensor(0.9170, device='cuda:0')","tensor(0.9185, device='cuda:0')","tensor(0.9713, device='cuda:0')"
46,0.09022294316026899,0.10734411080678304,"tensor(0.8478, device='cuda:0')","tensor(0.9175, device='cuda:0')","tensor(0.9585, device='cuda:0')","tensor(0.9356, device='cuda:0')","tensor(0.9003, device='cuda:0')","tensor(0.9786, device='cuda:0')"
47,0.08984974357816908,0.11171513050794601,"tensor(0.8395, device='cuda:0')","tensor(0.9126, device='cuda:0')","tensor(0.9570, device='cuda:0')","tensor(0.9535, device='cuda:0')","tensor(0.8754, device='cuda:0')","tensor(0.9853, device='cuda:0')"
48,0.09034083121352726,0.11074429750442505,"tensor(0.8421, device='cuda:0')","tensor(0.9141, device='cuda:0')","tensor(0.9576, device='cuda:0')","tensor(0.9529, device='cuda:0')","tensor(0.8787, device='cuda:0')","tensor(0.9850, device='cuda:0')"
49,0.0891002035803265,0.1064827765027682,"tensor(0.8487, device='cuda:0')","tensor(0.9180, device='cuda:0')","tensor(0.9588, device='cuda:0')","tensor(0.9382, device='cuda:0')","tensor(0.8990, device='cuda:0')","tensor(0.9796, device='cuda:0')"
50,0.08720741917689641,0.10586252311865489,"tensor(0.8511, device='cuda:0')","tensor(0.9195, device='cuda:0')","tensor(0.9592, device='cuda:0')","tensor(0.9318, device='cuda:0')","tensor(0.9077, device='cuda:0')","tensor(0.9771, device='cuda:0')"
51,0.0868320365746816,0.10903758058945338,"tensor(0.8441, device='cuda:0')","tensor(0.9153, device='cuda:0')","tensor(0.9582, device='cuda:0')","tensor(0.9540, device='cuda:0')","tensor(0.8798, device='cuda:0')","tensor(0.9854, device='cuda:0')"
52,0.08673249681790669,0.10503906259934108,"tensor(0.8509, device='cuda:0')","tensor(0.9193, device='cuda:0')","tensor(0.9594, device='cuda:0')","tensor(0.9385, device='cuda:0')","tensor(0.9012, device='cuda:0')","tensor(0.9796, device='cuda:0')"
53,0.08737301081418991,0.10507401327292125,"tensor(0.8521, device='cuda:0')","tensor(0.9200, device='cuda:0')","tensor(0.9595, device='cuda:0')","tensor(0.9340, device='cuda:0')","tensor(0.9067, device='cuda:0')","tensor(0.9779, device='cuda:0')"
54,0.08631749451160431,0.1066509559750557,"tensor(0.8503, device='cuda:0')","tensor(0.9190, device='cuda:0')","tensor(0.9595, device='cuda:0')","tensor(0.9438, device='cuda:0')","tensor(0.8957, device='cuda:0')","tensor(0.9816, device='cuda:0')"
55,0.08524565315908855,0.10407776633898418,"tensor(0.8535, device='cuda:0')","tensor(0.9209, device='cuda:0')","tensor(0.9602, device='cuda:0')","tensor(0.9403, device='cuda:0')","tensor(0.9024, device='cuda:0')","tensor(0.9802, device='cuda:0')"
56,0.08406398528152043,0.10340706259012222,"tensor(0.8540, device='cuda:0')","tensor(0.9212, device='cuda:0')","tensor(0.9601, device='cuda:0')","tensor(0.9346, device='cuda:0')","tensor(0.9084, device='cuda:0')","tensor(0.9780, device='cuda:0')"
57,0.08543832682900959,0.10695948948462804,"tensor(0.8517, device='cuda:0')","tensor(0.9198, device='cuda:0')","tensor(0.9585, device='cuda:0')","tensor(0.9119, device='cuda:0')","tensor(0.9280, device='cuda:0')","tensor(0.9691, device='cuda:0')"
58,0.08708874798483318,0.10264880706866582,"tensor(0.8554, device='cuda:0')","tensor(0.9220, device='cuda:0')","tensor(0.9605, device='cuda:0')","tensor(0.9346, device='cuda:0')","tensor(0.9099, device='cuda:0')","tensor(0.9780, device='cuda:0')"
59,0.08420225232839584,0.10406551758448283,"tensor(0.8537, device='cuda:0')","tensor(0.9210, device='cuda:0')","tensor(0.9605, device='cuda:0')","tensor(0.9473, device='cuda:0')","tensor(0.8963, device='cuda:0')","tensor(0.9828, device='cuda:0')"
